video_number;video_ID;video_subject;video_genre;video_views;comment_rank;comment_keyword;comment_attitude;speech_keyword;speech_attitude
8VID;9;hank vs hank;docu vlog;562800;4;high speed internet;technical;service;technical
8VID;9;hank vs hank;docu vlog;562800;3;the FCC;technical;content;sentimental
8VID;9;hank vs hank;docu vlog;562800;2;different Internet access bandwidths;sentimental;down;technical
8VID;9;hank vs hank;docu vlog;562800;1;a video showing you;sentimental;economic;sentimental
9VID;11;porn stars;comedy info;490300;10;porn;sentimental;neutrality;technical
9VID;11;porn stars;comedy info;490300;9;Net Neutrality Porn Stars;sentimental;porn;sentimental
9VID;11;porn stars;comedy info;490300;8;net neutrality i;technical;sex;sentimental
9VID;11;porn stars;comedy info;490300;7;porn people;sentimental;internet;technical
9VID;11;porn stars;comedy info;490300;6;my neutrality;technical;obama;sentimental
9VID;11;porn stars;comedy info;490300;5;women;sentimental;people;sentimental
9VID;11;porn stars;comedy info;490300;4;ways women;sentimental;president;sentimental
9VID;11;porn stars;comedy info;490300;3;you people;sentimental;cruz;technical
9VID;11;porn stars;comedy info;490300;2;porn videos;sentimental;party;sentimental
9VID;11;porn stars;comedy info;490300;1;good person;sentimental;providers;technical
10VID;24;public utility;docu vlog;115616;10;you access the internet;sentimental;internet;technical
10VID;24;public utility;docu vlog;115616;9;no internet;technical;common;sentimental
10VID;24;public utility;docu vlog;115616;8;the internet needs;technical;public;sentimental
10VID;24;public utility;docu vlog;115616;7;internet access a right Your;sentimental;utility;technical
10VID;24;public utility;docu vlog;115616;6;think internet;sentimental;people;sentimental
10VID;24;public utility;docu vlog;115616;5;the internet works;sentimental;carriers;technical
10VID;24;public utility;docu vlog;115616;4;a more open market internet;sentimental;service;technical
10VID;24;public utility;docu vlog;115616;3;any internet service;technical;superhero;sentimental
10VID;24;public utility;docu vlog;115616;2;Internet providers;technical;isp;technical
10VID;24;public utility;docu vlog;115616;1;higher speed internet;sentimental;neutrality;technical
11VID;13;twerking go save;docu vlog;213400;10;the internet;technical;internet;technical
11VID;13;twerking go save;docu vlog;213400;9;Internet Providers;technical;big;sentimental
11VID;13;twerking go save;docu vlog;213400;8;internet neutrality;technical;people;sentimental
11VID;13;twerking go save;docu vlog;213400;7;free internet;sentimental;regulations;technical
11VID;13;twerking go save;docu vlog;213400;6;people;sentimental;companies;sentimental
11VID;13;twerking go save;docu vlog;213400;5;internet users;sentimental;fast;sentimental
11VID;13;twerking go save;docu vlog;213400;4;Internet Explorer;sentimental;fcc;technical
11VID;13;twerking go save;docu vlog;213400;3;internet restrictions;technical;harmful;sentimental
11VID;13;twerking go save;docu vlog;213400;2;internet superhighway;sentimental;information;sentimental
11VID;13;twerking go save;docu vlog;213400;1;America;sentimental;laws;sentimental
12VID;15;extra credits;docu vlog;189600;10;government;technical;neutrality;technical
12VID;15;extra credits;docu vlog;189600;9;comcast;technical;access;technical
12VID;15;extra credits;docu vlog;189600;8;people;sentimental;isp;technical
12VID;15;extra credits;docu vlog;189600;7;the Net;technical;neutral;sentimental
12VID;15;extra credits;docu vlog;189600;6;non neutral;technical;service;technical
12VID;15;extra credits;docu vlog;189600;5;internet;technical;environment;technical
12VID;15;extra credits;docu vlog;189600;4;net neutrality work;sentimental;internet;technical
12VID;15;extra credits;docu vlog;189600;3;market;sentimental;content;sentimental
12VID;15;extra credits;docu vlog;189600;2;something against_net neutrality;sentimental;argument;sentimental
12VID;15;extra credits;docu vlog;189600;1;FREE Internet;sentimental;competition;sentimental
13VID;16;rap news;comedy info;182700;10;the net;technical;net;technical
13VID;16;rap news;comedy info;182700;9;the open net;technical;open;sentimental
13VID;16;rap news;comedy info;182700;8;an ISP;technical;free;sentimental
13VID;16;rap news;comedy info;182700;7;the new ISP;technical;internet;technical
13VID;16;rap news;comedy info;182700;6;Net Neutrality;technical;history;sentimental
13VID;16;rap news;comedy info;182700;5;internet access;sentimental;meet;sentimental
13VID;16;rap news;comedy info;182700;4;Internet;technical;neutrality;technical
13VID;16;rap news;comedy info;182700;3;no neutrality;sentimental;new;sentimental
13VID;16;rap news;comedy info;182700;2;Rap;sentimental;company;technical
13VID;16;rap news;comedy info;182700;1;internet use;sentimental;ensure;sentimental
14VID;17;interned is dead;docu vlog;165400;10;internet sorta thing;sentimental;internet;technical
14VID;17;interned is dead;docu vlog;165400;9;300/KBS internet;technical;service;technical
14VID;17;interned is dead;docu vlog;165400;8;better internet;sentimental;pay;sentimental
14VID;17;interned is dead;docu vlog;165400;7;Internet companies;technical;providers;technical
14VID;17;interned is dead;docu vlog;165400;6;internet access;sentimental;neutrality;technical
14VID;17;interned is dead;docu vlog;165400;5;1Gbps internet;technical;open;sentimental
14VID;17;interned is dead;docu vlog;165400;4;internet service;sentimental;proposal;sentimental
14VID;17;interned is dead;docu vlog;165400;3;internet speeds;sentimental;rules;sentimental
14VID;17;interned is dead;docu vlog;165400;2;free internet;sentimental;companies;technical
14VID;17;interned is dead;docu vlog;165400;1;internet prices;sentimental;content;sentimental
15VID;18;us govt killed internet;Talk Show;156200;10;people;sentimental;internet;technical
15VID;18;us govt killed internet;Talk Show;156200;9;religious people;sentimental;providers;technical
15VID;18;us govt killed internet;Talk Show;156200;8;less people;sentimental;government;sentimental
15VID;18;us govt killed internet;Talk Show;156200;7;the U.S. government;technical;money;sentimental
15VID;18;us govt killed internet;Talk Show;156200;6;the american people;sentimental;rules;sentimental
15VID;18;us govt killed internet;Talk Show;156200;5;the rich people;sentimental;netflix;technical
15VID;18;us govt killed internet;Talk Show;156200;4;the lower-class people;sentimental;neutrality;technical
15VID;18;us govt killed internet;Talk Show;156200;3;non-US persons;sentimental;change;sentimental
15VID;18;us govt killed internet;Talk Show;156200;2;Poor people;sentimental;pay;sentimental
15VID;18;us govt killed internet;Talk Show;156200;1;people revolt;sentimental;comcast;technical
16VID;19;we pay the price;docu vlog;133900;10;US government;technical;fucking;sentimental
16VID;19;we pay the price;docu vlog;133900;9;the whole government;sentimental;information;technical
16VID;19;we pay the price;docu vlog;133900;8;people;sentimental;internet;technical
16VID;19;we pay the price;docu vlog;133900;7;internet;sentimental;online;sentimental
16VID;19;we pay the price;docu vlog;133900;6;internet service;technical;control;sentimental
16VID;19;we pay the price;docu vlog;133900;5;congress;technical;government;technical
16VID;19;we pay the price;docu vlog;133900;4;america Government;technical;people;sentimental
16VID;19;we pay the price;docu vlog;133900;3;bad government;sentimental;video;sentimental
16VID;19;we pay the price;docu vlog;133900;2;freedom;sentimental;country;sentimental
16VID;19;we pay the price;docu vlog;133900;1;government regulations;sentimental;right;sentimental
17VID;20;google n friends;docu vlog;125300;10;the old internet;sentimental;internet;technical
17VID;20;google n friends;docu vlog;125300;9;net-neutral internet;technical;fcc;technical
17VID;20;google n friends;docu vlog;125300;8;the internet alone;sentimental;providers;technical
17VID;20;google n friends;docu vlog;125300;7;Internet speed;technical;against;sentimental
17VID;20;google n friends;docu vlog;125300;6;better internet/website speeds;sentimental;changes;sentimental
17VID;20;google n friends;docu vlog;125300;5;google;technical;companies;technical
17VID;20;google n friends;docu vlog;125300;4;internet neutrality;technical;content;sentimental
17VID;20;google n friends;docu vlog;125300;3;internet providers;technical;discrimination;sentimental
17VID;20;google n friends;docu vlog;125300;2;Free internet;sentimental;faster;sentimental
17VID;20;google n friends;docu vlog;125300;1;faster Internet;sentimental;free;sentimental
18VID;21;obama supports nn;docu vlog;122200;10;The first person;sentimental;internet;technical
18VID;21;obama supports nn;docu vlog;122200;9;enough people;sentimental;pay;sentimental
18VID;21;obama supports nn;docu vlog;122200;8;every person;sentimental;neutrality;technical
18VID;21;obama supports nn;docu vlog;122200;7;the past people;sentimental;obama;technical
18VID;21;obama supports nn;docu vlog;122200;6;an anti-gov person;sentimental;people;sentimental
18VID;21;obama supports nn;docu vlog;122200;5;the U.S. government;technical;service;sentimental
18VID;21;obama supports nn;docu vlog;122200;4;the Internet WORKS;sentimental;support;sentimental
18VID;21;obama supports nn;docu vlog;122200;3;Internet things;sentimental;time;sentimental
18VID;21;obama supports nn;docu vlog;122200;2;100mbps internet;technical;access;sentimental
18VID;21;obama supports nn;docu vlog;122200;1;internet access;sentimental;fuck;sentimental
19VID;22;aboun nn and open;docu vlog;119600;10;an open internet;technical;internet;technical
19VID;22;aboun nn and open;docu vlog;119600;9;the best internet;sentimental;data;technical
19VID;22;aboun nn and open;docu vlog;119600;8;a China-esque Internet;sentimental;companies;sentimental
19VID;22;aboun nn and open;docu vlog;119600;7;a free-open internet;sentimental;free;sentimental
19VID;22;aboun nn and open;docu vlog;119600;6;a new internet;sentimental;need;sentimental
19VID;22;aboun nn and open;docu vlog;119600;5;limitless internet;sentimental;neutrality;technical
19VID;22;aboun nn and open;docu vlog;119600;4;Some people;sentimental;people;sentimental
19VID;22;aboun nn and open;docu vlog;119600;3;so many people;sentimental;at&t;technical
19VID;22;aboun nn and open;docu vlog;119600;2;no government;sentimental;premium;sentimental
19VID;22;aboun nn and open;docu vlog;119600;1;a freedom-wing person;sentimental;website;sentimental
20VID;23;netflix will fight;docu vlog;117100;10;no netflix;sentimental;netflix;technical
20VID;23;netflix will fight;docu vlog;117100;9;Netflix;technical;internet;technical
20VID;23;netflix will fight;docu vlog;117100;8;Canada Netflix;technical;isp;technical
20VID;23;netflix will fight;docu vlog;117100;7;Netflix subscribers;technical;letter;sentimental
20VID;23;netflix will fight;docu vlog;117100;6;protest Netflix;sentimental;provide;sentimental
20VID;23;netflix will fight;docu vlog;117100;5;Netflix subscription;technical;arise;sentimental
20VID;23;netflix will fight;docu vlog;117100;4;free netflix;sentimental;companies;technical
20VID;23;netflix will fight;docu vlog;117100;3;Netflix videos;sentimental;company;technical
20VID;23;netflix will fight;docu vlog;117100;2;watch;sentimental;content;sentimental
20VID;23;netflix will fight;docu vlog;117100;1;netflix party;sentimental;legally;sentimental
