LINK,ANNO,AMBIENTE (BLOG/NEWS/SITI DI PRIVATI/ENTI PUBBLICI/ACADEMIC/SOCIAL/WIKI)
http://www.downloadblog.it/post/108313/diritto-a-essere-dimenticati-google-perde-la-prima-causa-in-europa,2014,NEWS
http://www.asiasentinel.com/tag/mario-costeja-gonzalez/,2014,NEWS
http://vitadigitale.corriere.it/2014/05/13/la-ue-conferma-il-diritto-alloblio-su-internet-contro-google/,2014,BLOG INTERNET
http://www.npr.org/blogs/thetwo-way/2014/05/14/312430713/-i-m-happy-says-man-whose-case-changed-europe-s-rules-for-google,2014,NEWS
http://www.fattodiritto.it/diritto-alloblio-ed-internet-il-caso-di-google/,2014,BLOG LAWYER
http://www.wired.it/attualita/tech/2014/05/13/google-diritto-oblio-rimouvere-link/,2014,NEWS
http://rall.com/tag/mario-costeja-gonzalez,2014,BLOG 
http://inforrm.wordpress.com/2014/05/13/news-google-v-spain-landmark-ecj-decision-in-relation-to-freedom-of-expression-and-the-right-to-be-forgotten-lorna-woods/,2014,BLOG LAWYER
https://www.youtube.com/watch?v=BjCO_aFblHo,2014,SOCIAL
http://www.economist.com/news/international/21621804-google-grapples-consequences-controversial-ruling-boundary-between,2014,NEWS
http://www.ilsoftware.it/articoli.asp?tag=Google-dovra-garantire-il-diritto-all-oblio-Cosa-significa_10966,2014,NEWS
http://www.eticanews.it/tag/mario-costeja-gonzalez/,2014,NEWS
http://www.vocenuova.tv/news/tags/mario-costeja-gonzalez,2014,NEWS
http://www.spiegel.de/spam/satire-bei-spiegel-online-mario-costeja-gonzalez-vs-google-a-969288.html,2014,NEWS
http://www.elconfidencial.com/tecnologia/2013/02/27/el-espanol-deshonrado-que-puso-en-jaque-la-libertad-de-expresion-de-google-4352/,2014,NEWS
http://venturebeat.com/2014/05/13/this-is-what-the-right-to-be-forgotten-looks-like/,2014,NEWS
http://www.i-comp.org/wp-content/uploads/2014/07/RTBF-Overview1.pdf,2014,BLOG INTERNET
http://www.linkiesta.it/sentenza-corte-ue-google,2014,NEWS
http://www.ilfattoquotidiano.it/2014/07/05/diritto-alloblio-dalleuropa-70mila-richieste-a-google-ma-link-visibili-in-usa/1050279/,2014,NEWS
http://www.greenreport.it/news/comunicazione/clamorosa-sentenza-corte-ue-google-internet/#prettyPhoto[videospot]/0/,2014,NEWS
http://www.corrs.com.au/thinking/insights/google-fined-1-32-million-for-breach-of-privacy-implications-for-your-privacy-compliance-program/,2014,BLOG INTERNET
http://urbanchristiannews.com/tag/mario-costeja-gonzalez/,2014,NEWS
http://www.voxeurop.eu/en/content/blog/4774978-un-writing-history-right-be-forgotten,2014,NEWS
http://pailsolicitors.co.uk/tag/mr-mario-costeja-gonzalez,2014,BLOG LAWYER
http://www.leggioggi.it/wp-content/uploads/2014/05/sentenza-corte-di-giustizia.pdf,2014,BLOG LAWYER
https://news.ycombinator.com/item?id=7737301,2014,NEWS
http://blog.damako.it/tag/mario-costeja-gonzalez/,2014,BLOG
http://www.general-anzeiger-bonn.de/news/portraet/der-mann-der-google-in-die-knie-zwang-article1349855.html,2014,BLOG
http://www.nuovaresistenza.org/tag/mario-costeja-gonzalez/,2014,BLOG
http://fullcomment.nationalpost.com/2014/07/03/jesse-kline-a-right-to-be-forgotten-is-a-right-to-censor-others/,2014,NEWS
http://www.telegraph.co.uk/technology/google/10827653/Search-aborted.html,2014,NEWS
http://www.lastampa.it/2014/09/10/cultura/opinioni/editoriali/il-diritto-alloblio-5FI7Uw291pKkCbmoC3rrKJ/pagina.html,2014,NEWS
http://www.lemouv.fr/tag-mario-costeja-gonzalez,2014,BLOG
http://tychy.wordpress.com/tag/mario-costeja-gonzalez/,2014,BLOG
http://www.worldprivacyforum.org/wp-content/uploads/2014/05/WPF_GoogleSpainCaseAnalysis_fs.pdf,2014,BLOG LAWYER
