ID;query;link;titlepaper;speaker;pointofview;opinion;proposal;main label
26;nothing to hide mass surveillance;http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1075&context=lhapapers&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3Dnothing%2Bto%2Bhide%2Bmass%2Bsurveillance%26btnG%3D%26as_sdt%3D1%252C5%26as_sdtp%3D#search=%22nothing%20hide%20mass%20surveillance%22;Opposing surveillance;Brian Martin;socio-cultural;neutral;methods to evade surveillance;privacy vs security
27;nothing to hide mass surveillance;http://wiki.dxarts.washington.edu/sandbox/groups/general/wiki/5b1a1/attachments/3115b/Moore%20Privacy%2C%20Secuirty%2C%20WikiLeaks%20PAQ.pdf?sessionID=c545bdd9aafbac931cdcb9138e309ae90c7b3578;PRIVACY, SECURITY, AND GOVERNMENT SURVEILLANCE: WIKILEAKS AND THE NEW ACCOUNTABILITY;Adam D. Moore;civil liberties;surveillance is necessary but;balance between privacy and security;privacy vs security
28;nothing to hide mass surveillance;http://libvm3.library.vanderbilt.edu/bitstream/handle/1803/5900/Distinguished%20Lecture.pdf?sequence=1;SURVEILLANCE AND THE CONSTITUTION;Christoper Slobogin;law;surveillance is necessary but;surveillance practicies have to be revisited;surveillance is necessary
29;nothing to hide mass surveillance;http://www.diva-portal.org/smash/get/diva2:578157/FULLTEXT01.pdf;The Chilling Effect of Counter-Terrorism Measures: A Comparative Analysis of Electronic Surveillance Laws in Europe and the USA;Elisabet Fura;law;surveillance practicies are illegal;they should consider also eu laws,  not only us;us vs eu
30;nothing to hide mass surveillance;https://theconversation.com/nine-reasons-you-should-care-about-nsas-prism-surveillance-15075;Nine reasons you should care about NSA’s PRISM surveillance;Sean Rintel;civil liberties;against surveillance;_;privacy in the cyberspace
31;nothing to hide mass surveillance;http://works.bepress.com/jeffrey_vagle/1/;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;Jeffrey L. Vagle;law;surveillance practicies are illegal;balance between privacy and security;privacy vs security
32;nothing to hide mass surveillance;http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2285095;Privacy Protests: Surveillance Evasion and Fourth Amendment Suspicion;Elizabeth E. Joh;socio-cultural;neutral;recognize the acts of resistance;protest movements
33;"Warrantless + ""mass surveillance""";http://digitalcommons.law.yale.edu/ylas/2/?no_redirect=true;When Machines Are Watching:  How Warrantless Use of GPS Surveillance Technology Terminates The Fourth Amendment Right Against Unreasonable Search;Priscilla Smith;civil liberties;surveillance practicies are illegal;protection of citizens;consequences of technology abuse
34;"Warrantless + ""mass surveillance""";http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6613122&tag=1;IXmaps — Tracking your personal data through the NSA's warrantless wiretapping sites;Andrew Clement;civil liberties;surveillance practicies are illegal;democracy;Tracking personal data 
36;"Warrantless + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?article=1004&context=daniel_cohn&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_sdt%3D0%2C5%26q%3Dwarrantless%252B%2522mass%2Bsurveillance%2522%26hl%3Den%26as_vis%3D1#search=%22warrantless%2Bmass%20surveillance%22;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;Daniel J. Cohn;law;neutral;_;warrantless surveillance
