statement;against surveillance
surveillance brings no advantages;18
surveillance is useless to prevent terrorism;4
the world need to be aware of the surveillance programs;30
privacy is a fundamental human right;65
surveillance has negative effects on society;24
surveillance is illegal;22
surveillance must be immediately stopped;51
nothing to hide is not an excuse to surveillance;27
disapproval of surveillance technology;7
tech giant must protect thir user's privacy;20
