topic;in favor of surveillance;against surveillance;neutral;tot
clarifying the argument;2;18;26;46
counter-terrorism;1;4;2;7
disclosures;0;30;5;35
human rights;1;65;3;69
impact on society;1;24;7;32
law aspect;6;22;12;40
movement issue;0;51;5;56
nothing to hide argument;0;27;3;30
surveillance technology;1;7;11;19
tech giant;0;20;19;39
